session,condition,topic,assessment_language,topic_completeness,logic_composition,expressiveness,language_mastery,complexity,vocabulary_text_linking,language_constructs,assessment_quality
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-4,Do arts and music improve the quality of life?,2,5,5,5,6,4,5,5,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,zoos should be banned,5,6,6,6,6,4,5,5,3
0ynzvwvxifu3enwwv5vog2rc8via3sb4,ChatGPT-4,"computers..use,future prospects and over-dependence",2,5,4,5,6,5,5,5,2
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,Do modern communication technologies benefit all people,4,4,4,3,5,4,4,4,2
wjtbk547gm3kbhm2syykrda91a9koceu,Student,should all the advertisements be banned?,4,3,3,2,2,3,3,3,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-4,Do arts and music improve the quality of life?,3,5,4,5,5,4,4,5,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,Do arts and music improve the quality of life?,4,4,4,4,2,4,3,3,2
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-3,economic development vs environment,1,4,4,4,3,4,4,4,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-3,"Government should spend money on ARTs, not only on public services",2,3,4,4,4,4,4,4,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-3,Those who use drugs should be automatically sentenced to time in prison,3,4,4,3,5,4,5,5,1
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-3,Several languages are in danger of extinction,1,5,5,5,6,6,5,6,3
1ffzqxil7h3zmumj85svnetx29uvej3o,Student,Is image more powerful than the written word?,2,5,5,5,6,5,5,5,3
ovveu2pletq3xkjup4t2qmqe3u69ytcb,ChatGPT-4,More people are migrating to other countries than ever before,3,6,6,2,6,4,5,5,2
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,Student,Is image more powerful than the written word?,5,6,6,6,6,6,6,6,3
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,Giving mobile phones to the unemployed,4,5,5,5,6,6,6,6,2
xea685r9fwrkuaugtc3aucspv34av5el,Student,Influence of English - advantages outweigh the disadvantages,5,2,3,2,4,4,4,3,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,Student,Nowadays there are more opportunities for women than there were in the past,4,1,3,2,4,5,4,4,2
yhhasgbui0x5dneax62an6p0y769nhca,ChatGPT-3,economic development vs environment,0,1,1,1,0,1,1,1,0
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,Student,"Government should spend money on ARTs, not only on public services",1,3,3,4,3,3,4,4,1
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,Student,government shouldn't put money on building theaters or sports stadiums,4,5,4,4,5,5,5,5,3
9e29g8fljpiaqqzio6jvwh2p62k960km,Student,Several languages are in danger of extinction,2,3,3,2,4,3,3,3,3
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Keeping animals in zoos,2,3,3,3,4,4,4,3,0
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,Artists' freedom to express ideas,1,2,3,3,5,4,4,4,1
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,zoos should be banned,1,6,5,5,5,5,5,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-4,Advertising - positive or negative part of our lives,1,4,5,2,6,4,5,5,1
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,economic development vs environment,2,4,4,4,4,4,4,4,1
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-4,"Government should spend money on ARTs, not only on public services",2,5,5,4,6,5,5,5,1
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,Keeping animals in zoos,1,4,4,3,5,3,4,5,1
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Keeping animals in zoos,1,3,3,3,2,2,3,3,2
a460q5wc7leq8556iqzmjpy26gunhcno,Student,Keeping animals in zoos,2,3,4,4,3,4,3,3,0
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Advertising - positive or negative part of our lives,4,5,5,5,6,6,5,5,3
g0rntgh8sk4ehswu3iphviv8byk5bgad,Student,"computers..use,future prospects and over-dependence",4,4,4,4,2,4,4,4,3
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-3,Artists' freedom to express ideas,4,4,3,4,5,3,4,4,2
c5e8dbxl8892elwdq7enj4u6ldlp7zag,ChatGPT-4,Government should be responsible for education and health care or not?,4,5,5,3,6,6,5,5,3
hwlcvhvkpcsq26vqw3h4agtiu450yue0,Student,Artists' freedom to express ideas,5,4,4,4,4,5,5,5,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-4,Technology keeps traditional skills and ways of life alive or not?,4,3,4,4,5,5,6,5,2
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,Student,creativity-should it be given freedom or restrictions,3,2,1,1,2,2,2,2,3
wwmqz42o3int4rtr1s5ea0oycp6kerm5,Student,Keeping animals in zoos,2,4,3,2,2,2,2,2,3
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-4,Gender Equality at university admission,3,4,5,4,4,4,4,4,3
6ganr5vnayf3earis2qokj91nfkjprl1,Student,The nuclear power provide clean and cheap energy,4,4,3,4,4,4,4,4,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,The nuclear power provide clean and cheap energy,1,4,4,3,3,3,4,3,1
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,should universities accept equal number of males/females or not,0,5,5,5,5,5,5,5,0
27cy61crue3numwu12qb1yjahlgx4dfo,ChatGPT-4,Keeping animals in zoos,1,5,5,4,5,2,3,3,1
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,Student,Advertising - positive or negative part of our lives,4,4,4,5,5,4,4,4,3
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,economic development vs environment,5,5,6,5,6,6,6,6,4
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,Use of CCTV cameras,2,4,4,3,4,3,4,4,1
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,Student,zoos should be banned,2,5,5,5,5,4,5,4,1
goy6fcxoim5ydlkiarbswih1qcqqca18,Student,Traditional games or modern games in developing children's skills,2,5,4,4,5,5,4,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,Artists' freedom to express ideas,3,5,5,4,6,5,6,5,2
85d01jfwme6nq0xuv81yn1jel0bsnxq6,Student,Government should be responsible for education and health care or not?,3,5,5,5,6,6,5,6,2
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-3,The nuclear power provide clean and cheap energy,3,6,5,4,5,5,5,5,3
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-4,"Government should spend money on ARTs, not only on public services",1,4,4,4,5,4,4,4,0
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-4,The nuclear power provide clean and cheap energy,2,4,4,4,5,5,5,5,0
tt7g5cc8q09pivcekvsfj83qnvphc0c3,Student,Do arts and music improve the quality of life?,2,0,0,1,1,3,4,4,2
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-3,Is image more powerful than the written word?,3,3,4,4,6,5,5,5,4
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,teaching and researching working together lead to the success,2,4,5,4,5,4,4,4,3
0ll3yprr67qbpu204ogv1msgkj0b5720,Student,Advertising - positive or negative part of our lives,2,5,4,3,6,4,3,5,0
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-3,Solve traffic and housing problems by moving companies to the rural areas?,3,5,5,5,4,5,5,5,3
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,zoos should be banned,2,5,5,5,6,5,5,5,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-3,Prefer to live in a small town rather than a city,4,5,5,3,6,3,4,4,3
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Giving mobile phones to the unemployed,3,4,3,3,3,3,3,4,2
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,Knowledge from experience is more important than that from books,1,4,5,4,5,3,4,5,1
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-3,Several languages are in danger of extinction,5,5,3,5,6,6,6,6,4
flhpvtppxp5oyqksisq22okdbo74cka0,Student,Can petrol price increase impact on reducing traffic and pollution?,1,5,5,4,4,4,4,4,0
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,Student,Prefer to live in a small town rather than a city,4,4,5,4,4,4,4,3,2
bfb3uj06g3twa0h1oerv63pcacnffkls,ChatGPT-3,Advertising - positive or negative part of our lives,5,4,5,3,6,3,5,5,3
q6pbiymk6hbriv1i7otts03k8x05w5x5,ChatGPT-3,Use of CCTV cameras,1,2,4,3,4,3,3,3,1
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,Student,Alternative forms of transport to alleviate traffic congestion,3,4,4,4,4,3,4,4,3
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,ChatGPT-3,zoos should be banned,3,3,4,4,5,3,4,4,3
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-4,teaching and researching working together lead to the success,4,5,5,4,6,4,6,5,3
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-4,computer has negative effects to children,1,4,4,4,4,3,3,3,0
kvhozafx51i5gz3bcc7h668sdiph7q02,ChatGPT-4,Those who use drugs should be automatically sentenced to time in prison,1,5,4,4,5,5,5,5,0
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-3,Can petrol price increase impact on reducing traffic and pollution?,3,5,4,3,5,5,5,5,1
koecf6ha05tlkkowh8eyc1hj11ptbfey,Student,teaching and researching working together lead to the success,3,1,3,2,4,4,4,4,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,Can petrol price increase impact on reducing traffic and pollution?,4,4,4,4,3,3,3,3,2
hwlcvhvkpcsq26vqw3h4agtiu450yue0,Student,Solve traffic and housing problems by moving companies to the rural areas?,5,4,5,4,3,5,5,4,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-4,Knowledge from experience is more important than that from books,2,3,4,3,6,4,5,4,1
2qpxkgwgxmlymjo937jx65f3dzqzisx6,ChatGPT-3,Use of CCTV cameras,2,5,5,5,6,5,5,5,2
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-4,Do modern communication technologies benefit all people,3,5,5,5,6,5,5,5,3
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-3,Knowledge from experience is more important than that from books,2,2,2,2,2,2,2,3,0
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,ChatGPT-4,Knowledge from experience is more important than that from books,1,6,6,5,6,6,6,6,0
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-4,Giving mobile phones to the unemployed,4,5,5,4,6,5,5,5,3
ksredoneqru0xqxf7nq2hydb58zr0nvn,ChatGPT-4,Use of CCTV cameras,3,1,1,2,1,1,2,2,3
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-4,Paying more money is the only motivation to make employees work harder,1,5,5,4,5,5,4,4,0
xea685r9fwrkuaugtc3aucspv34av5el,ChatGPT-3,Prefer to live in a small town rather than a city,5,6,5,5,6,5,6,5,4
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-3,Advertising - positive or negative part of our lives,1,4,4,4,4,4,4,4,0
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,Giving mobile phones to the unemployed,2,3,5,4,6,5,5,5,3
0srbxg98ookztl91uhlt1s9rgtbw53s4,Student,economic development vs environment,2,5,5,6,6,5,6,6,2
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Solve traffic and housing problems by moving companies to the rural areas?,1,4,4,4,4,3,4,4,1
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,Student,Artists' freedom to express ideas,4,1,1,2,1,3,1,2,2
mfctuxkizf1flo6083xotwsi3o40wdup,ChatGPT-4,Is image more powerful than the written word?,1,4,5,4,4,4,4,5,0
0ynzvwvxifu3enwwv5vog2rc8via3sb4,ChatGPT-4,teaching and researching working together lead to the success,2,4,5,4,6,6,6,5,1
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-3,humans should be able to use animals for their own benefit?,1,4,4,2,3,2,2,3,0
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,Student,Museums as a form of entertainment or education?,0,5,5,6,5,5,5,5,0
9e29g8fljpiaqqzio6jvwh2p62k960km,ChatGPT-4,Prefer to live in a small town rather than a city,2,4,4,3,4,4,4,4,3
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-3,Using animals for the benefit of the human beings,2,5,5,4,4,4,4,4,0
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-4,Why should human beings travel to outer space?,5,5,6,6,6,6,6,6,4
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-4,Young people should go to university or not,1,5,5,5,6,5,5,5,0
hwlcvhvkpcsq26vqw3h4agtiu450yue0,Student,should universities accept equal number of males/females or not,5,4,4,4,3,5,5,5,3
uatb851hhhj4nslj3ocd8yo240wnqgu5,ChatGPT-4,Growing traffic & pollution can be controlled by increasing petrol prices,2,4,4,4,4,4,4,3,0
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-4,The nuclear power provide clean and cheap energy,5,5,6,4,6,5,6,5,3
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,Student,"Government should spend money on ARTs, not only on public services",2,4,4,4,5,4,4,3,1
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,ChatGPT-3,Will newspapers become a thing of the past?,2,4,4,4,4,3,3,3,1
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,ChatGPT-4,More people are migrating to other countries than ever before,4,6,6,6,6,6,6,6,3
wx1ftoab40fv73rki7wvap3lfiryf598,Student,Living and studying overseas,5,5,4,4,5,3,4,4,4
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-4,Can petrol price increase impact on reducing traffic and pollution?,2,1,3,2,5,4,5,4,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-3,creativity-should it be given freedom or restrictions,3,5,5,5,5,5,4,6,3
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-3,Gender Equality at university admission,2,4,5,5,6,5,5,5,3
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-3,Do arts and music improve the quality of life?,5,4,5,4,5,4,5,5,3
ksredoneqru0xqxf7nq2hydb58zr0nvn,Student,should all the advertisements be banned?,3,1,1,1,1,1,1,1,3
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,Student,Use of CCTV cameras,3,5,5,6,6,5,5,5,3
0j5ac1w3jqs3n4d88fxghkr996puxnzf,ChatGPT-3,Giving mobile phones to the unemployed,2,4,4,4,4,3,4,4,2
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,Student,Prefer to live in a small town rather than a city,5,4,3,3,3,4,4,4,3
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-3,Can petrol price increase impact on reducing traffic and pollution?,1,6,5,6,6,6,5,5,3
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,Solve traffic and housing problems by moving companies to the rural areas?,4,3,4,4,3,4,3,3,2
7h4kehby4qflhzzjg13qr89hl89kr6s2,Student,Why you should exercise,1,6,6,6,6,6,6,6,0
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-4,Society should ban all forms of the advertising,2,4,4,4,6,4,4,6,0
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-4,Solve traffic and housing problems by moving companies to the rural areas?,3,6,5,5,6,6,6,6,4
zprb1muapmszr1s8btczu55w5y4wlxpe,Student,Giving mobile phones to the unemployed,4,5,4,4,5,5,5,4,3
zby0p8ese5gmn1tslotguvjz6sr6fwry,Student,Knowledge from experience is more important than that from books,1,1,1,1,2,2,1,3,1
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-4,International sporting occasions help to ease international tensions,4,4,5,5,6,4,5,5,2
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-4,Prefer to live in a small town rather than a city,1,5,5,4,5,5,4,5,0
fxty78tj0luhghulpp686zi9swrx64xi,Student,Use of CCTV cameras,2,2,4,3,3,2,2,3,2
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-4,Prefer to live in a small town rather than a city,4,5,5,4,4,4,4,5,3
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,ChatGPT-3,Locker checks,2,5,5,5,5,5,5,4,1
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-4,Financial Aid To Developing Countries,5,6,6,6,6,5,6,5,4
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,should teenagers learn all school subjects/focus on one subject,1,3,3,2,4,3,3,3,0
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-4,Computer replace  man power in jobs,3,5,4,3,6,5,5,5,1
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-4,pros and cons of developments in agriculture,4,5,5,5,6,3,5,5,3
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-3,Do arts and music improve the quality of life?,1,5,5,5,6,5,5,5,0
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,Student,Everyone Should Go Camping,3,5,4,5,5,2,4,4,2
bfb3uj06g3twa0h1oerv63pcacnffkls,Student,Should governments be responsible to help the unemployed and homeless,5,2,2,2,3,4,4,3,2
uwrin05xaajicfy33jc255se0w5vq22d,Student,Study at school or get a job?,2,2,2,2,3,2,3,3,2
uatb851hhhj4nslj3ocd8yo240wnqgu5,ChatGPT-3,Advertisements affects on consumer goods,2,5,5,4,5,4,4,4,0
9e29g8fljpiaqqzio6jvwh2p62k960km,ChatGPT-3,Should students be taught to compete or to cooperate?,2,5,5,4,6,5,5,5,3
xea685r9fwrkuaugtc3aucspv34av5el,ChatGPT-4,Is image more powerful than the written word?,5,6,6,6,6,6,6,6,4
wjtbk547gm3kbhm2syykrda91a9koceu,Student,teaching and researching working together lead to the success,4,1,1,1,1,2,4,4,3
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-3,teaching and researching working together lead to the success,5,5,5,4,3,5,5,5,2
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-3,people will spend less time on cooking food,1,5,5,4,5,5,4,5,0
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-4,Solve traffic and housing problems by moving companies to the rural areas?,4,3,4,4,5,4,5,5,2
mfctuxkizf1flo6083xotwsi3o40wdup,Student,Advertising - positive or negative part of our lives,1,3,4,4,4,3,4,4,1
hwlcvhvkpcsq26vqw3h4agtiu450yue0,ChatGPT-3,Technology cannot solve all the world's problems,5,5,5,5,6,6,6,6,3
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,Student,Lessons with teachers versus others sources,4,3,4,3,3,2,3,3,3
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-3,Influence Of Large Factory,3,4,3,4,6,3,5,4,3
2qpxkgwgxmlymjo937jx65f3dzqzisx6,ChatGPT-4,government shouldn't put money on building theaters or sports stadiums,2,5,5,4,6,6,6,6,2
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,zoos should be built to protect rural animals,1,4,4,4,5,4,4,4,1
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-4,International tourism is now more common than ever before (against),5,6,6,5,6,6,6,6,4
kvhozafx51i5gz3bcc7h668sdiph7q02,ChatGPT-4,Influence of English - advantages outweigh the disadvantages,1,3,3,3,3,3,4,3,0
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-4,"Government should spend money on ARTs, not only on public services",2,4,4,4,5,5,5,5,1
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-4,technology that widen the gap between rich and poor?,5,6,6,6,6,6,6,6,4
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-4,computer has negative effects to children,2,3,4,4,4,4,4,4,2
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-3,capital punishment..necessary or not,1,5,5,5,5,5,5,5,0
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-3,Nowadays there are more opportunities for women than there were in the past,1,5,4,4,5,5,5,5,0
uatb851hhhj4nslj3ocd8yo240wnqgu5,ChatGPT-3,Artists' freedom to express ideas,2,3,4,3,4,3,3,3,0
0ynzvwvxifu3enwwv5vog2rc8via3sb4,Student,Use of CCTV cameras,2,3,5,5,5,5,5,5,2
hwlcvhvkpcsq26vqw3h4agtiu450yue0,ChatGPT-4,Should students be taught to compete or to cooperate?,5,5,5,5,6,6,5,6,3
ovveu2pletq3xkjup4t2qmqe3u69ytcb,ChatGPT-4,Can petrol price increase impact on reducing traffic and pollution?,3,5,6,4,6,4,5,5,1
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,Student,effects of globalization (decrease in global tension),3,3,4,3,3,3,4,4,3
mfctuxkizf1flo6083xotwsi3o40wdup,ChatGPT-3,technology that widen the gap between rich and poor?,1,5,5,5,6,4,5,5,0
ksredoneqru0xqxf7nq2hydb58zr0nvn,Student,Government And Education,3,2,2,2,1,2,2,1,3
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-3,Technology keeps traditional skills and ways of life alive or not?,3,4,5,4,6,5,6,5,2
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,ChatGPT-3,museums and art galleries will disappear soon?,2,5,5,5,6,5,5,5,1
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-4,The Truth About Cannabis,2,3,4,4,5,4,4,5,2
g0rntgh8sk4ehswu3iphviv8byk5bgad,Student,Knowledge from experience is more important than that from books,4,5,3,4,1,4,4,5,3
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,ChatGPT-4,Should rich countries help poor countries?,2,4,4,3,6,5,6,5,1
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,Government should make more effort to promote alternative sources of energy,4,2,2,1,1,1,1,2,1
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-3,Creative Artists,4,5,4,4,5,5,5,5,3
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-4,advantages and disadvantages of the prevalent of English,4,5,5,5,5,5,5,5,3
mfctuxkizf1flo6083xotwsi3o40wdup,ChatGPT-3,Museums as a form of entertainment or education?,1,4,5,4,5,4,4,5,0
27cy61crue3numwu12qb1yjahlgx4dfo,Student,Should students be taught to compete or to cooperate?,1,3,3,3,3,3,3,3,0
6z2czq2ox46ouw2hdygosn0svlyq2l9l,Student,Benefits of students' unpaid work,1,4,4,3,5,5,4,3,2
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,should goverment control media crime,4,3,2,2,3,4,3,3,3
fxty78tj0luhghulpp686zi9swrx64xi,ChatGPT-4,Should high school make music lessons compulsory,2,3,5,4,5,4,5,4,2
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,Student,Solve traffic and housing problems by moving companies to the rural areas?,4,4,4,4,5,5,5,4,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,Those who use drugs should be automatically sentenced to time in prison,3,4,5,4,5,5,5,5,2
urzb5uheinwspm5r00lot77vksy6a8l5,Student,"computers..use,future prospects and over-dependence",1,2,4,4,3,2,3,3,0
zprb1muapmszr1s8btczu55w5y4wlxpe,Student,distance-learning vs. attending school in person,4,5,5,5,4,5,5,4,2
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,Gender Equality at university admission,1,2,2,3,3,3,3,3,1
9e29g8fljpiaqqzio6jvwh2p62k960km,ChatGPT-3,Government should be responsible for education and health care or not?,2,4,4,4,4,4,4,4,3
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-4,Museums as a form of entertainment or education?,2,4,5,4,5,5,5,5,2
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Giving mobile phones to the unemployed,4,6,5,5,6,4,5,5,3
0ynzvwvxifu3enwwv5vog2rc8via3sb4,Student,Why should human beings travel to outer space?,2,4,4,3,6,3,4,3,1
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-3,is a break good or bad after high school for students,3,5,5,4,6,4,5,4,4
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,Several languages are in danger of extinction,2,6,5,5,6,5,6,5,3
xea685r9fwrkuaugtc3aucspv34av5el,ChatGPT-3,economic development vs environment,5,4,4,5,4,5,5,4,3
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-4,True Function of A University,3,5,5,4,4,5,4,4,3
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,ChatGPT-4,International tourism is now more common than ever before (for),3,5,5,6,6,4,5,6,3
0j5ac1w3jqs3n4d88fxghkr996puxnzf,ChatGPT-4,Gun control,2,5,4,5,5,5,5,5,2
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-4,Gender Equality at university admission,4,3,4,3,5,4,4,5,2
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-3,The Non-Issue of Same Sex Marriage,5,3,3,3,5,4,5,5,3
2qpxkgwgxmlymjo937jx65f3dzqzisx6,Student,More people are migrating to other countries than ever before,2,2,2,2,3,3,3,3,2
27cy61crue3numwu12qb1yjahlgx4dfo,ChatGPT-4,Advertisements affects on consumer goods,1,3,3,3,3,3,3,3,1
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,Air pollution,4,1,0,0,1,1,0,1,3
urzb5uheinwspm5r00lot77vksy6a8l5,ChatGPT-3,Young people should go to university or not,1,2,1,1,1,1,1,1,0
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,Student,Can petrol price increase impact on reducing traffic and pollution?,5,2,3,2,4,4,4,4,2
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-4,Benefits of students doing extra jobs,1,5,5,5,5,6,5,5,2
zprb1muapmszr1s8btczu55w5y4wlxpe,ChatGPT-4,Benefits of students' unpaid work,4,6,6,6,6,6,6,6,4
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,Student,Advertisements affects on consumer goods,4,4,4,4,3,3,4,3,3
g0rntgh8sk4ehswu3iphviv8byk5bgad,ChatGPT-4,Air pollution,4,6,6,5,6,5,5,3,2
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-3,Why should human beings travel to outer space?,2,4,4,3,6,3,4,4,2
gzefi1rs5qm7904owyzotxhxc3ny9goh,Student,Benefits of students doing extra jobs,4,4,4,4,1,2,2,3,3
27cy61crue3numwu12qb1yjahlgx4dfo,Student,computer has negative effects to children,1,3,3,3,3,3,3,3,0
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-3,International tourism is now more common than ever before (for),3,3,3,4,6,5,5,5,3
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,ChatGPT-3,Air pollution,2,4,4,4,4,2,3,3,1
urzb5uheinwspm5r00lot77vksy6a8l5,Student,Influence Of Large Factory,1,6,6,6,6,6,6,6,0
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-3,More people are migrating to other countries than ever before,5,5,6,5,6,6,6,6,4
0j5ac1w3jqs3n4d88fxghkr996puxnzf,ChatGPT-3,Benefits of students' unpaid work,2,4,4,3,4,3,4,4,2
